date,year,url,saved_path,status,bytes,sha256,kind
20160615,2016,https://www.federalreserve.gov/monetarypolicy/fomcminutes20160615.htm,minutes_html\2016\fomcminutes-20160615.htm,200,135575,66e82fcfcedee90a53ec40a374d74d87e09b8ace89369b3280c8e01cd6d7f5fd,html_modern
20160727,2016,https://www.federalreserve.gov/monetarypolicy/fomcminutes20160727.htm,minutes_html\2016\fomcminutes-20160727.htm,200,148908,b65e011364aff712fceb83474a67c0b0ca3decd494496b6c18ea14cee71e6bb0,html_modern
20160921,2016,https://www.federalreserve.gov/monetarypolicy/fomcminutes20160921.htm,minutes_html\2016\fomcminutes-20160921.htm,200,155451,439b5a03a677fde3f5ca6bf869895da95e916e4f2bf708d1cbded977f4dc8b37,html_modern
20161102,2016,https://www.federalreserve.gov/monetarypolicy/fomcminutes20161102.htm,minutes_html\2016\fomcminutes-20161102.htm,200,142331,641d9754c4e19124ffa79231b7483d67577bd08de113112c2ab3d81e875c0438,html_modern
20161214,2016,https://www.federalreserve.gov/monetarypolicy/fomcminutes20161214.htm,minutes_html\2016\fomcminutes-20161214.htm,200,137144,c4b0b844f6270d19a1c28d0ae1112fe4bbb1907c5361b48bcffe342c846fbb42,html_modern
20150128,2015,https://www.federalreserve.gov/monetarypolicy/fomcminutes20150128.htm,minutes_html\2015\fomcminutes-20150128.htm,200,179960,86f7e480f61d47fbdff4d0d575000adc72948ba973503a9d60bbfb110081a86c,html_modern
20150318,2015,https://www.federalreserve.gov/monetarypolicy/fomcminutes20150318.htm,minutes_html\2015\fomcminutes-20150318.htm,200,137014,9e5512e3a0bb74479199de3ea7a2d626ac6565e482ccbb6f2b59d0c8681f601c,html_modern
20150429,2015,https://www.federalreserve.gov/monetarypolicy/fomcminutes20150429.htm,minutes_html\2015\fomcminutes-20150429.htm,200,130981,80bcd00561ca1d20be9efd3cbb1f0bedc1272a11753e694cc6a624411a34b160,html_modern
20150617,2015,https://www.federalreserve.gov/monetarypolicy/fomcminutes20150617.htm,minutes_html\2015\fomcminutes-20150617.htm,200,134467,6535d3532115d6991b20023a7450a716aa4de2479da0abc002ee607e21596277,html_modern
20150729,2015,https://www.federalreserve.gov/monetarypolicy/fomcminutes20150729.htm,minutes_html\2015\fomcminutes-20150729.htm,200,137068,a7b3315ca58a9d84f4ab4327710e435b097d4d0fd749d05a44e6c83c2f2b73c3,html_modern
20150917,2015,https://www.federalreserve.gov/monetarypolicy/fomcminutes20150917.htm,minutes_html\2015\fomcminutes-20150917.htm,200,130152,b6bd5b49efa7990bbc3d0d810f980ddf81063c1c389347093701a0c9b5768bee,html_modern
